GEO_ID,incident_zip,NAME,population,median_household_income,households,broadband_households,broadband_household_percent
860Z200US01074,01074,ZCTA5 01074,368,79583,161,131,81.36645962732919
860Z200US01075,01075,ZCTA5 01075,17754,93910,7210,6541,90.72122052704576
860Z200US01077,01077,ZCTA5 01077,9217,120462,3815,3642,95.46526867627784
860Z200US01079,01079,ZCTA5 01079,438,70588,208,208,100.0
860Z200US01080,01080,ZCTA5 01080,2454,89063,991,872,87.99192734611503
860Z200US01081,01081,ZCTA5 01081,1747,86979,699,657,93.99141630901288
860Z200US01082,01082,ZCTA5 01082,10392,69018,4592,4247,92.48693379790942
860Z200US01083,01083,ZCTA5 01083,2858,64032,1094,913,83.45521023765995
860Z200US01084,01084,ZCTA5 01084,97,93125,54,54,100.0
860Z200US01085,01085,ZCTA5 01085,41102,88728,16112,14442,89.63505461767627
860Z200US01088,01088,ZCTA5 01088,702,85368,325,234,72.0
860Z200US01089,01089,ZCTA5 01089,28772,69371,12732,11477,90.14294690543512
860Z200US01092,01092,ZCTA5 01092,1200,68614,587,528,89.9488926746167
860Z200US01093,01093,ZCTA5 01093,225,110909,126,106,84.12698412698413
860Z200US01094,01094,ZCTA5 01094,52,-666666666,13,9,69.23076923076923
860Z200US01095,01095,ZCTA5 01095,14618,122330,5302,4768,89.92832893247831
860Z200US01096,01096,ZCTA5 01096,2580,104375,1037,951,91.70684667309547
860Z200US01097,01097,ZCTA5 01097,143,-666666666,55,39,70.9090909090909
860Z200US01098,01098,ZCTA5 01098,979,96250,475,436,91.78947368421052
860Z200US01103,01103,ZCTA5 01103,2477,21355,1664,1327,79.74759615384616
860Z200US01104,01104,ZCTA5 01104,23209,50154,9043,7683,84.96074311622249
860Z200US01105,01105,ZCTA5 01105,11843,24036,4973,3671,73.81862055097527
860Z200US01106,01106,ZCTA5 01106,15853,147935,5748,5435,94.55462769659012
860Z200US01107,01107,ZCTA5 01107,12009,35632,4171,3275,78.51834092543754
860Z200US01108,01108,ZCTA5 01108,27405,50661,10459,9335,89.25327469165312
860Z200US01109,01109,ZCTA5 01109,31124,48415,9542,8325,87.24586040662335
860Z200US01118,01118,ZCTA5 01118,14839,80250,5563,5229,93.99604529929894
860Z200US01119,01119,ZCTA5 01119,13616,57857,5120,4232,82.65625
860Z200US01128,01128,ZCTA5 01128,2896,100313,1022,956,93.54207436399217
860Z200US01129,01129,ZCTA5 01129,5672,97162,2548,2439,95.72213500784929
860Z200US01144,01144,ZCTA5 01144,0,-666666666,0,0,
860Z200US01151,01151,ZCTA5 01151,9606,55324,3601,3154,87.58678144959734
860Z200US01201,01201,ZCTA5 01201,44848,71093,20143,18137,90.04120538152212
860Z200US01220,01220,ZCTA5 01220,8074,58929,4046,3462,85.56599110232328
860Z200US01222,01222,ZCTA5 01222,664,71042,285,273,95.78947368421052
860Z200US01223,01223,ZCTA5 01223,2495,86818,1132,1052,92.93286219081273
860Z200US01224,01224,ZCTA5 01224,228,76222,89,77,86.51685393258427
860Z200US01225,01225,ZCTA5 01225,3216,69803,1515,1296,85.54455445544555
860Z200US01226,01226,ZCTA5 01226,6256,79438,2907,2624,90.26487788097695
860Z200US01229,01229,ZCTA5 01229,263,-666666666,106,83,78.30188679245283
860Z200US01230,01230,ZCTA5 01230,8826,86694,3690,3345,90.65040650406505
860Z200US01235,01235,ZCTA5 01235,2489,79327,1115,985,88.34080717488789
860Z200US01236,01236,ZCTA5 01236,1458,111250,596,553,92.78523489932886
860Z200US01237,01237,ZCTA5 01237,2302,90898,1029,913,88.72691933916424
860Z200US01238,01238,ZCTA5 01238,5944,84591,2883,2641,91.60596600763094
860Z200US01240,01240,ZCTA5 01240,5111,107826,2450,2294,93.63265306122449
860Z200US01242,01242,ZCTA5 01242,29,-666666666,0,0,
860Z200US01243,01243,ZCTA5 01243,173,91250,76,76,100.0
860Z200US01244,01244,ZCTA5 01244,271,75833,124,119,95.96774193548387
860Z200US01245,01245,ZCTA5 01245,692,136875,281,275,97.86476868327402
860Z200US01247,01247,ZCTA5 01247,14794,52330,6893,6142,89.10488901784419
860Z200US01253,01253,ZCTA5 01253,936,116806,401,374,93.26683291770573
860Z200US01254,01254,ZCTA5 01254,1036,125893,443,426,96.16252821670429
860Z200US01255,01255,ZCTA5 01255,994,91111,358,331,92.45810055865921
860Z200US01256,01256,ZCTA5 01256,795,61328,373,347,93.02949061662198
860Z200US01257,01257,ZCTA5 01257,2348,102788,906,841,92.82560706401766
860Z200US01258,01258,ZCTA5 01258,193,142500,78,76,97.43589743589743
860Z200US01259,01259,ZCTA5 01259,688,158125,228,223,97.80701754385966
860Z200US01260,01260,ZCTA5 01260,20,-666666666,9,9,100.0
860Z200US01262,01262,ZCTA5 01262,1778,145750,693,654,94.37229437229438
860Z200US01264,01264,ZCTA5 01264,188,93750,94,88,93.61702127659575
860Z200US01266,01266,ZCTA5 01266,1000,100417,489,445,91.00204498977506
860Z200US01267,01267,ZCTA5 01267,9633,106375,3425,3168,92.4963503649635
860Z200US01270,01270,ZCTA5 01270,1036,116375,432,378,87.5
860Z200US01301,01301,ZCTA5 01301,17876,56176,8271,7558,91.3795188006287
860Z200US01330,01330,ZCTA5 01330,1704,83493,855,771,90.17543859649123
860Z200US01331,01331,ZCTA5 01331,13922,72181,5396,5087,94.27353595255745
860Z200US01337,01337,ZCTA5 01337,2589,85045,1101,1030,93.55131698455949
860Z200US01338,01338,ZCTA5 01338,95,50521,61,55,90.1639344262295
860Z200US01339,01339,ZCTA5 01339,1313,68365,593,547,92.24283305227657
860Z200US01340,01340,ZCTA5 01340,1759,78804,794,681,85.76826196473552
860Z200US01341,01341,ZCTA5 01341,1622,97417,717,697,97.21059972105998
860Z200US01342,01342,ZCTA5 01342,1267,109205,447,431,96.42058165548099
860Z200US01343,01343,ZCTA5 01343,147,69375,75,67,89.33333333333333
860Z200US01344,01344,ZCTA5 01344,1703,77656,715,674,94.26573426573427
860Z200US01346,01346,ZCTA5 01346,454,113650,220,196,89.0909090909091
860Z200US01347,01347,ZCTA5 01347,165,72467,97,97,100.0
860Z200US01349,01349,ZCTA5 01349,741,75033,359,286,79.66573816155989
860Z200US01350,01350,ZCTA5 01350,122,-666666666,58,51,87.93103448275862
860Z200US01351,01351,ZCTA5 01351,2636,98229,1007,957,95.03475670307844
860Z200US01354,01354,ZCTA5 01354,1740,90208,649,619,95.37750385208012
860Z200US01355,01355,ZCTA5 01355,958,82713,383,377,98.43342036553526
860Z200US01360,01360,ZCTA5 01360,2872,103375,1313,1158,88.19497334348819
860Z200US01364,01364,ZCTA5 01364,7658,55532,3082,2706,87.80012978585334
860Z200US01366,01366,ZCTA5 01366,1185,110750,467,432,92.50535331905782
860Z200US01367,01367,ZCTA5 01367,563,72813,229,212,92.57641921397381
860Z200US01368,01368,ZCTA5 01368,1455,102500,520,433,83.26923076923077
860Z200US01370,01370,ZCTA5 01370,3878,81008,1736,1639,94.41244239631337
860Z200US01373,01373,ZCTA5 01373,4860,106413,2342,2088,89.15456874466268
860Z200US01375,01375,ZCTA5 01375,3641,68083,1695,1624,95.81120943952803
860Z200US01376,01376,ZCTA5 01376,4976,55652,2340,2027,86.62393162393163
860Z200US01378,01378,ZCTA5 01378,776,93333,362,327,90.33149171270718
860Z200US01379,01379,ZCTA5 01379,778,59583,334,300,89.82035928143712
860Z200US01380,01380,ZCTA5 01380,36,73472,17,17,100.0
860Z200US01420,01420,ZCTA5 01420,41839,72780,16709,15241,91.21431563827878
860Z200US01430,01430,ZCTA5 01430,6481,118683,2331,2236,95.92449592449593
860Z200US01431,01431,ZCTA5 01431,3211,115598,1261,1224,97.06582077716098
860Z200US01432,01432,ZCTA5 01432,8521,101966,3567,3271,91.70171012054948
860Z200US01434,01434,ZCTA5 01434,1564,162143,260,210,80.76923076923077
860Z200US01436,01436,ZCTA5 01436,3720,77721,1327,1123,84.62697814619442
860Z200US01438,01438,ZCTA5 01438,330,-666666666,121,121,100.0
860Z200US01440,01440,ZCTA5 01440,21276,67440,9007,8100,89.93005440213167
860Z200US01450,01450,ZCTA5 01450,11356,193292,3697,3637,98.3770624830944
860Z200US01451,01451,ZCTA5 01451,5487,214792,1900,1824,96.0
860Z200US01452,01452,ZCTA5 01452,4371,123500,1686,1603,95.07710557532621
860Z200US01453,01453,ZCTA5 01453,43851,84296,18425,17265,93.70420624151967
860Z200US01460,01460,ZCTA5 01460,10280,149722,3804,3647,95.87276550998949
860Z200US01462,01462,ZCTA5 01462,11919,112992,4752,4549,95.72811447811448
860Z200US01463,01463,ZCTA5 01463,11697,123911,4342,4052,93.32105020727775
860Z200US01464,01464,ZCTA5 01464,6976,122365,2277,2093,91.91919191919192
860Z200US01468,01468,ZCTA5 01468,4183,113427,1732,1696,97.92147806004618
860Z200US01469,01469,ZCTA5 01469,6820,103801,2583,2499,96.7479674796748
860Z200US01473,01473,ZCTA5 01473,8374,106331,3295,3210,97.42033383915023
860Z200US01474,01474,ZCTA5 01474,2280,136371,756,749,99.07407407407408
860Z200US01475,01475,ZCTA5 01475,10265,76552,3760,3585,95.34574468085107
860Z200US01501,01501,ZCTA5 01501,16877,116762,6788,6236,91.86800235710076
860Z200US01503,01503,ZCTA5 01503,3378,121336,1447,1303,90.04837595024188
860Z200US01504,01504,ZCTA5 01504,9255,94191,3904,3728,95.49180327868852
860Z200US01505,01505,ZCTA5 01505,4948,140962,1966,1939,98.6266531027467
860Z200US01506,01506,ZCTA5 01506,3460,81250,1504,1274,84.70744680851064
860Z200US01507,01507,ZCTA5 01507,13435,117587,5007,4656,92.98981426003596
860Z200US01510,01510,ZCTA5 01510,15563,89781,6758,6428,95.11689849067771
860Z200US01515,01515,ZCTA5 01515,2166,81042,918,815,88.77995642701525
860Z200US01516,01516,ZCTA5 01516,9376,153172,3350,3134,93.55223880597015
860Z200US01518,01518,ZCTA5 01518,2598,136111,1196,1184,98.99665551839465
860Z200US01519,01519,ZCTA5 01519,8058,178263,2815,2613,92.82415630550621
860Z200US01520,01520,ZCTA5 01520,16912,148125,5978,5740,96.01873536299766
860Z200US01521,01521,ZCTA5 01521,2583,91979,1187,1156,97.38837405223252
860Z200US01522,01522,ZCTA5 01522,3152,100625,1180,1152,97.6271186440678
860Z200US01523,01523,ZCTA5 01523,8606,134833,2960,2872,97.02702702702702
860Z200US01524,01524,ZCTA5 01524,6327,102099,2225,2077,93.34831460674158
860Z200US01525,01525,ZCTA5 01525,0,-666666666,0,0,
860Z200US01527,01527,ZCTA5 01527,13961,118790,5572,5277,94.7056712132089
860Z200US01529,01529,ZCTA5 01529,3160,127188,1188,1043,87.79461279461279
860Z200US01531,01531,ZCTA5 01531,973,99500,382,330,86.38743455497382
860Z200US01532,01532,ZCTA5 01532,15750,153199,5929,5840,98.49890369370888
860Z200US01534,01534,ZCTA5 01534,6230,141250,2446,2378,97.21995094031071
860Z200US01535,01535,ZCTA5 01535,4760,79285,1869,1602,85.71428571428571
860Z200US01536,01536,ZCTA5 01536,6860,115938,2874,2604,90.6054279749478
860Z200US01537,01537,ZCTA5 01537,2278,102956,877,872,99.42987457240594
860Z200US01540,01540,ZCTA5 01540,10979,110579,4039,3558,88.0911116613023
860Z200US01541,01541,ZCTA5 01541,3529,158750,1330,1308,98.34586466165413
860Z200US01542,01542,ZCTA5 01542,2615,96111,1082,924,85.39741219963032
860Z200US01543,01543,ZCTA5 01543,9353,145707,3185,3102,97.39403453689168
860Z200US01545,01545,ZCTA5 01545,38876,139302,14708,14053,95.54664128365515
860Z200US01550,01550,ZCTA5 01550,17928,66287,7260,6521,89.82093663911846
860Z200US01560,01560,ZCTA5 01560,4984,107031,1967,1872,95.17031011692933
860Z200US01561,01561,ZCTA5 01561,0,-666666666,0,0,
860Z200US01562,01562,ZCTA5 01562,12008,80533,5201,4735,91.04018457988849
860Z200US01564,01564,ZCTA5 01564,8183,129063,3282,3183,96.9835466179159
860Z200US01566,01566,ZCTA5 01566,7362,137730,2876,2717,94.47148817802503
860Z200US01568,01568,ZCTA5 01568,8011,160417,2924,2671,91.34746922024624
860Z200US01569,01569,ZCTA5 01569,14304,124222,5477,5213,95.17984297973344
860Z200US01570,01570,ZCTA5 01570,17748,72895,7677,6833,89.00612218314446
860Z200US01571,01571,ZCTA5 01571,11929,84604,4375,4029,92.09142857142857
860Z200US01581,01581,ZCTA5 01581,21944,141944,7964,7692,96.58463083877449
860Z200US01583,01583,ZCTA5 01583,7606,106094,2924,2770,94.73324213406292
860Z200US01585,01585,ZCTA5 01585,4810,87857,2170,2088,96.22119815668204
860Z200US01588,01588,ZCTA5 01588,10258,92486,4279,3984,93.10586585650853
860Z200US01590,01590,ZCTA5 01590,9422,147015,3396,3107,91.48998822143697
860Z200US01602,01602,ZCTA5 01602,27092,91764,10303,9607,93.2446860137824
860Z200US01603,01603,ZCTA5 01603,20868,66049,8010,7332,91.53558052434457
860Z200US01604,01604,ZCTA5 01604,39812,73505,16853,15513,92.04889337209993
860Z200US01605,01605,ZCTA5 01605,30579,54642,11722,10388,88.6196894727862
860Z200US01606,01606,ZCTA5 01606,22844,92105,9192,8596,93.51610095735423
860Z200US01607,01607,ZCTA5 01607,8706,78727,3549,3417,96.28064243448858
860Z200US01608,01608,ZCTA5 01608,4932,45687,2336,2184,93.4931506849315
860Z200US01609,01609,ZCTA5 01609,22047,68381,7891,7036,89.16487137244962
860Z200US01610,01610,ZCTA5 01610,30444,51472,9744,8390,86.10426929392446
860Z200US01611,01611,ZCTA5 01611,2299,109868,812,732,90.14778325123153
860Z200US01612,01612,ZCTA5 01612,5002,134083,1720,1650,95.93023255813954
