agency_capacity,verification_response,quality_gap,scenario,application_volume,verification,low_eligible_take_up,high_eligible_take_up,access_gap,low_resource_burden,false_application_share
0.25,0.75,0.5,Unequal private agents,0.39027432241583987,0.5808229559372879,0.3294292500632709,0.9637892789649417,0.6343600289016709,0.7998789722691418,0.12939162213653654
0.25,0.75,0.5,Audited public agent,0.49385304202425334,0.6446325887106519,0.7375834970458377,0.9477928875429273,0.21020939049708964,0.5745456835608627,0.07214650511967569
0.25,0.9,0.0,No agent,0.35087978274700327,0.5231672104059999,0.3836033284183909,0.8628397570042224,0.47923642858583154,0.8397302266781628,0.0572527855927088
0.25,0.9,0.0,General-purpose agents,0.4217903049085401,0.7784450925291155,0.5296779032697838,0.893691201335948,0.3640132980661642,0.6803469376994294,0.09356339663182926
0.25,0.9,0.0,Unequal private agents,0.39982007240256534,0.6993522555414641,0.4120301781221279,0.9352262600182961,0.5231960818961683,0.7463279461722728,0.10605884218503497
0.25,0.9,0.0,Audited public agent,0.4840260404298792,0.7120781069149341,0.7254813829296672,0.9369799405040354,0.2114985575743682,0.5780728016533778,0.06639444521709734
0.25,0.9,0.1,No agent,0.35087978274700327,0.5231672104059999,0.3836033284183909,0.8628397570042224,0.47923642858583154,0.8397302266781628,0.0572527855927088
0.25,0.9,0.1,General-purpose agents,0.4157553091809864,0.7567190965792389,0.4938594203359853,0.9084214985592601,0.41456207822327484,0.7022220168380036,0.09739408624785303
0.25,0.9,0.1,Unequal private agents,0.39552245958565674,0.6838808485535144,0.3888121022698893,0.94149628687571,0.5526841846058206,0.7604966217124305,0.10999313978613849
0.25,0.9,0.1,Audited public agent,0.483229628916959,0.7096888735097127,0.721016772616249,0.938225676031274,0.21720890341502508,0.5820293238795391,0.06698301632871966
0.25,0.9,0.2,No agent,0.35087978274700327,0.5231672104059999,0.3836033284183909,0.8628397570042224,0.47923642858583154,0.8397302266781628,0.0572527855927088
0.25,0.9,0.2,General-purpose agents,0.40952070214540826,0.7342745114228932,0.45866047278542216,0.9213780013428798,0.4627175285574577,0.7237952911111771,0.10152859124396249
0.25,0.9,0.2,Unequal private agents,0.3912391029810179,0.6684607637730354,0.3660505986154536,0.9471893388788396,0.5811387402633861,0.7746868525442875,0.11406474541180281
0.25,0.9,0.2,Audited public agent,0.4824242800099837,0.7072728278310562,0.7165249177425785,0.9394509404307864,0.22292602268820783,0.5859745849302165,0.06758380730513572
0.25,0.9,0.3,No agent,0.35087978274700327,0.5231672104059999,0.3836033284183909,0.8628397570042224,0.47923642858583154,0.8397302266781628,0.0572527855927088
0.25,0.9,0.3,General-purpose agents,0.40315396456484365,0.711354267243261,0.42423176094387494,0.9326875368496933,0.5084557759058184,0.7451687910683913,0.10594600530683339
0.25,0.9,0.3,Unequal private agents,0.38698926449886095,0.6531613433609004,0.34378694932375076,0.952347230276141,0.6085602809523902,0.7889277622135091,0.11826264015867864
0.25,0.9,0.3,Audited public agent,0.4816102016529019,0.704830593717697,0.712006384419408,0.9406558955712299,0.22864951115182186,0.5899088468192353,0.0681968785576994
0.25,0.9,0.4,No agent,0.35087978274700327,0.5231672104059999,0.3836033284183909,0.8628397570042224,0.47923642858583154,0.8397302266781628,0.0572527855927088
0.25,0.9,0.4,General-purpose agents,0.3967200035115293,0.6881920059773139,0.39070278707217865,0.9424938467746227,0.551791059702444,0.7664406410033393,0.11062135840837338
0.25,0.9,0.4,Unequal private agents,0.38279155771841267,0.6380495952255764,0.3220613556270423,0.9570112499205953,0.634949894293553,0.803247493820756,0.1225741205731253
0.25,0.9,0.4,Audited public agent,0.48078760318173,0.7023627991841298,0.7074617390008335,0.941840708333586,0.23437896933275248,0.5938323733141408,0.06882229113044824
0.25,0.9,0.5,No agent,0.35087978274700327,0.5231672104059999,0.3836033284183909,0.8628397570042224,0.47923642858583154,0.8397302266781628,0.0572527855927088
0.25,0.9,0.5,General-purpose agents,0.3902808523136264,0.6650110597953687,0.35818867713055613,0.9509481401892993,0.5927594630587432,0.7877046431841288,0.11552504782095492
0.25,0.9,0.5,Unequal private agents,0.3786639065686505,0.6231900454999958,0.3009132314240966,0.9612215685043746,0.660308337080278,0.8176731483392847,0.12698475925803693
0.25,0.9,0.5,Audited public agent,0.47995669519637096,0.6998700760360868,0.7028915479112015,0.9430055504023452,0.24011400249114379,0.5977454297747029,0.06946010662229493
0.3,0.0,0.0,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.3,0.0,0.0,General-purpose agents,0.5891480669776988,0.16,0.8857858477615675,0.959612142432748,0.0738262946711804,0.42060000000000003,0.1417458220128603
0.3,0.0,0.0,Unequal private agents,0.5622293474780802,0.16,0.7903771047819268,0.9727745459832369,0.18239744120131007,0.5198,0.1457102513683473
0.3,0.0,0.0,Audited public agent,0.5896602412712086,0.16,0.9366894609544533,0.9740855902554574,0.03739612930100411,0.34619999999999995,0.11045683745031652
0.3,0.0,0.1,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
