state,state_name,poverty_percent,broadband_percent,disability_percent,limited_english_household_percent,no_broadband_percent,equal_weight_score,equal_weight_rank,poverty_double_rank,digital_double_rank,noncompensatory_rank,median_random_weight_rank,rank_p05,rank_p95,probability_top_10,deterministic_rank_range
29,Missouri,12.576719266491477,89.26751845028382,14.896823000630452,1.1474639257132628,10.732481549716184,0.588235294117647,14.0,17.0,12.0,22.0,15.0,11.0,41.0,0.0,10.0
30,Montana,11.508101523214597,89.41766424980223,14.520856287795317,0.5103964398649694,10.582335750197771,0.5,27.0,26.0,20.0,34.0,25.0,13.0,48.0,0.0,14.0
31,Nebraska,10.6015799529993,90.5588414821388,12.329215820353548,2.6453693502638975,9.441158517861197,0.4411764705882353,31.0,33.0,34.0,28.0,33.0,22.0,39.0,0.0,6.0
32,Nevada,12.41896593652696,92.03496112150994,13.94243116175113,5.199597868938203,7.965038878490063,0.5637254901960784,22.0,23.0,26.0,19.0,21.0,6.0,36.0,0.1958,7.0
33,New Hampshire,7.249169925477754,92.92093511951668,13.271186268550181,1.1876104220415888,7.079064880483315,0.1715686274509804,50.0,50.0,49.0,49.0,50.0,42.0,51.0,0.0,1.0
34,New Jersey,9.715340589357528,92.80483142662388,10.805931406161266,7.274422762943591,7.195168573376122,0.3088235294117647,46.0,46.0,47.0,48.0,46.0,12.0,49.0,0.0414,2.0
35,New Mexico,17.83521295123572,86.53748325201155,17.00131136866842,5.297618621136021,13.462516747988445,0.9215686274509804,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
36,New York,14.005183340488948,90.84650520041964,12.627329932611328,7.703098135017454,9.153494799580358,0.6470588235294117,11.0,11.0,13.0,10.0,12.0,2.0,29.0,0.3853,3.0
37,North Carolina,13.029805415871143,90.07690879646549,13.581904938262685,2.3269727217213934,9.923091203534511,0.5784313725490196,16.0,18.0,15.0,12.0,19.0,14.0,25.0,0.0,6.0
38,North Dakota,10.81588388521671,88.71815938356143,12.039834089841914,1.3332809767325253,11.281840616438572,0.4068627450980392,38.0,35.0,24.0,38.0,36.0,14.0,48.0,0.0047,14.0
39,Ohio,13.28774054675729,90.10359658915309,14.41595106357029,1.5420739181331764,9.896403410846915,0.5735294117647058,17.0,14.0,16.0,18.0,18.0,12.0,37.0,0.0,4.0
40,Oklahoma,15.335459905596984,88.86397689691876,17.21902382926807,2.1223267700937476,11.136023103081243,0.7598039215686274,5.0,6.0,7.0,3.0,7.0,2.0,14.0,0.9237,4.0
41,Oregon,11.94237715559692,92.39587249232144,15.45657458810197,2.3600722057794883,7.604127507678555,0.5245098039215687,24.0,24.0,35.0,26.0,24.0,11.0,39.0,0.0433,11.0
42,Pennsylvania,11.709430739977716,89.74327815391253,14.354377575228161,2.695601185473794,10.256721846087473,0.6323529411764706,12.0,14.0,11.0,8.0,13.0,6.0,23.0,0.2008,6.0
44,Rhode Island,11.162708232737808,91.74015444889825,13.779044262663723,5.461648209796861,8.259845551101748,0.5392156862745098,23.0,25.0,28.0,21.0,25.0,6.0,35.0,0.1653,7.0
45,South Carolina,14.073428353393949,88.8019248447466,14.644163884412139,1.5583650340015929,11.198075155253406,0.6813725490196078,9.0,9.0,9.0,7.0,10.0,9.0,30.0,0.6063,2.0
46,South Dakota,11.9301888489311,89.62641980172017,12.492564352152282,1.2676996476484363,10.373580198279825,0.4362745098039216,32.0,31.0,31.0,30.0,32.0,20.0,45.0,0.0,2.0
47,Tennessee,13.757840068040753,89.20367938413973,14.937606293813136,1.7876079435551115,10.796320615860267,0.676470588235294,10.0,10.0,10.0,6.0,10.0,9.0,26.0,0.5872,4.0
48,Texas,13.787671603210752,91.35043286451805,12.29979929460994,6.802024158323036,8.649567135481945,0.5833333333333334,15.0,12.0,21.0,20.0,18.0,3.0,35.0,0.2611,9.0
49,Utah,8.4982907854598,93.36241645344775,10.649538861841563,2.213505781359184,6.63758354655225,0.1568627450980392,51.0,51.0,51.0,51.0,50.0,44.0,51.0,0.0,0.0
50,Vermont,10.051370932734033,89.74383357228545,14.435099453442813,0.5317903853468707,10.256166427714547,0.4215686274509804,35.0,37.0,33.0,40.0,35.0,17.0,50.0,0.0,7.0
51,Virginia,9.894724179761546,91.00742423936309,12.492253723256102,2.6842303546449924,8.99257576063691,0.37745098039215685,40.0,42.0,36.0,39.0,38.0,26.0,44.0,0.0,6.0
53,Washington,9.902348383118682,93.60415946124078,13.550947090348481,3.775034096619051,6.3958405387592165,0.3480392156862745,44.0,45.0,45.0,45.0,42.0,19.0,48.0,0.0,1.0
54,West Virginia,16.713206226453316,86.07146043051924,19.067614168962326,0.3544887498198736,13.928539569480762,0.7352941176470588,7.0,7.0,6.0,25.0,6.0,1.0,39.0,0.72,19.0
55,Wisconsin,10.55251642651935,90.30820978592286,12.291979240777955,1.4918853953248263,9.691790214077145,0.33333333333333337,45.0,43.0,37.0,41.0,42.0,31.0,48.0,0.0,8.0
56,Wyoming,10.528923790061132,89.43522468539113,14.098854742303907,1.0159544300051784,10.564775314608866,0.4362745098039216,32.0,34.0,28.0,35.0,33.0,18.0,47.0,0.0,7.0
